Tempo,Referencia_Temperatura,Referencia_Umidade,Saida_Temperatura,Saida_Umidade,Erro_Temperatura,Erro_Umidade
1782,30,50,27.7539763271539,46.9910525208042,2.24602367284606,3.0089474791958
1800,30,50,27.754052629306,46.9919377434175,2.24594737069398,3.00806225658251
1818,30,50,27.7541245250659,46.9927966977908,2.24587547493406,3.00720330220923
1836,30,50,27.7541922729889,46.9936301114079,2.24580772701108,3.0063698885921
1854,30,50,27.7542561162068,46.9944386947616,2.24574388379316,3.00556130523842
1872,30,50,27.7543162833746,46.9952231415574,2.24568371662543,3.00477685844261
1890,30,50,27.7543729895548,46.9959841289273,2.24562701044522,3.0040158710727
1908,30,50,27.7544264370455,46.9967223176521,2.24557356295452,3.0032776823479
1926,30,50,27.7544768161547,46.997438352392,2.24552318384533,3.00256164760805
1944,30,50,27.7545243059256,46.9981328619244,2.24547569407436,3.00186713807562
1962,30,50,27.7545690748166,46.9988064593889,2.24543092518345,3.00119354061106
1980,30,50,27.7546112813373,46.9994597425379,2.24538871866265,3.0005402574621
1998,30,50,27.754651074647,47.000093293992,2.24534892535304,2.99990670600805
2016,30,50,27.7546885951135,47.0007076815005,2.2453114048865,2.99929231849948
2034,30,50,27.7547239748398,47.0013034582057,2.24527602516015,2.99869654179432
2052,30,50,27.754757338157,47.0018811629092,2.24524266184302,2.99811883709078
2070,30,50,27.7547888020871,47.002441320342,2.24521119791289,2.99755867965798
2088,30,50,27.7548184767786,47.0029844414353,2.24518152322143,2.99701555856466
2106,30,50,27.7548464659143,47.0035110235932,2.24515353408567,2.99648897640675
2124,30,50,27.7548728670957,47.0040215509658,2.24512713290426,2.99597844903422
2142,30,50,27.7548977722031,47.0045164947223,2.24510222779693,2.99548350527775
2160,30,50,27.7549212677344,47.0049963133243,2.24507873226565,2.9950036866757
2178,30,50,27.7549434351239,47.0054614527982,2.24505656487609,2.99453854720181
2196,30,50,27.7549643510416,47.005912347006,2.24503564895837,2.99408765299398
2214,30,50,27.7549840876745,47.0063494179154,2.24501591232553,2.99365058208463
2232,30,50,27.755002712991,47.0067730758671,2.24499728700896,2.99322692413288
2250,30,50,27.7550202909904,47.0071837198412,2.24497970900958,2.99281628015882
2268,30,50,27.7550368819361,47.0075817377197,2.24496311806387,2.99241826228032
2286,30,50,27.7550525425762,47.0079675065475,2.24494745742381,2.99203249345252
2304,30,50,27.7550673263501,47.0083413927898,2.2449326736499,2.99165860721016
2322,30,50,27.7550812835835,47.0087037525868,2.24491871641654,2.99129624741323
2340,30,50,27.7550944616711,47.0090549320042,2.24490553832885,2.99094506799578
2358,30,50,27.7551069052495,47.0093952672816,2.24489309475048,2.99060473271836
2376,30,50,27.7551186563585,47.009725085076,2.2448813436415,2.990274914924
2394,30,50,27.755129754594,47.010044702702,2.24487024540598,2.98995529729802
2412,30,50,27.7551402372515,47.0103544283683,2.24485976274852,2.98964557163173
2430,30,50,27.7551501394607,47.01065456141,2.24484986053934,2.98934543859005
2448,30,50,27.7551594943128,47.0109453925168,2.24484050568723,2.98905460748322
2466,30,50,27.7551683329799,47.0112272039573,2.24483166702013,2.98877279604265
2484,30,50,27.7551766848273,47.0115002697991,2.24482331517266,2.98849973020088
2502,30,50,27.7551845775197,47.0117648561242,2.24481542248032,2.98823514387576
2520,30,50,27.7551920371201,47.0120212212411,2.24480796287995,2.98797877875892
2538,30,50,27.755199088184,47.0122696158916,2.24480091181601,2.98773038410843
2556,30,50,27.7552057538475,47.0125102834542,2.24479424615246,2.98748971654577
2574,30,50,27.7552120559103,47.012743460143,2.24478794408969,2.98725653985703
2592,30,50,27.7552180149135,47.0129693752016,2.24478198508652,2.98703062479836
2610,30,50,27.7552236502134,47.0131882510943,2.24477634978663,2.98681174890574
2628,30,50,27.7552289800506,47.0134003036912,2.24477101994942,2.98659969630883
2646,30,50,27.7552340216151,47.0136057424508,2.2447659783849,2.98639425754915
2664,30,50,27.7552387911076,47.0138047705976,2.24476120889241,2.98619522940237
2682,30,50,27.7552433037971,47.0139975852953,2.24475669620291,2.98600241470466
2700,30,50,27.7552475740753,47.0141843778167,2.24475242592472,2.98581562218325
2718,30,50,27.7552516155076,47.0143653337091,2.24474838449244,2.98563466629091
2736,30,50,27.7552554408812,47.0145406329555,2.24474455911878,2.98545936704447
2754,30,50,27.7552590622507,47.0147104501327,2.24474093774933,2.98528954986728
2772,30,50,27.75526249098,47.0148749545645,2.24473750901996,2.98512504543552
2790,30,50,27.7552657377834,47.0150343104716,2.2447342622166,2.98496568952838
2808,30,50,27.7552688127624,47.0151886771181,2.24473118723759,2.98481132288193
2826,30,50,27.755271725442,47.0153382089532,2.24472827455803,2.98466179104679
2844,30,50,27.7552744848036,47.0154830557507,2.24472551519636,2.98451694424934
2862,30,50,27.7552770993172,47.0156233627434,2.24472290068283,2.9843766372566
2880,30,50,27.7552795769702,47.0157592707555,2.24472042302983,2.98424072924451
2898,30,50,27.7552819252961,47.0158909163302,2.24471807470394,2.9841090836698
2916,30,50,27.7552841514003,47.0160184318549,2.24471584859969,2.9839815681451
2934,30,50,27.7552862619853,47.0161419456825,2.24471373801474,2.98385805431746
2952,30,50,27.7552882633734,47.0162615822499,2.24471173662659,2.98373841775007
2970,30,50,27.7552901615293,47.0163774621928,2.24470983847066,2.98362253780716
2988,30,50,27.7552919620804,47.016489702458,2.24470803791959,2.98351029754203
3006,30,50,27.7552936703362,47.0165984164118,2.24470632966376,2.98340158358815
3024,30,50,27.755295291307,47.0167037139468,2.24470470869304,2.98329628605315
3042,30,50,27.7552968297205,47.0168057015842,2.24470317027946,2.9831942984158
3060,30,50,27.755298290039,47.0169044825742,2.24470170996101,2.98309551742584
3078,30,50,27.7552996764737,47.0170001569935,2.24470032352632,2.98299984300652
3096,30,50,27.7553009929998,47.0170928218401,2.24469900700025,2.98290717815995
3114,30,50,27.7553022433697,47.017182571125,2.24469775663033,2.98281742887502
3132,30,50,27.755303431126,47.017269495962,2.24469656887397,2.98273050403797
3150,30,50,27.7553045596136,47.0173536846546,2.24469544038644,2.98264631534541
3168,30,50,27.7553056319905,47.0174352227801,2.24469436800952,2.98256477721992
3186,30,50,27.7553066512392,47.017514193272,2.24469334876083,2.98248580672795
3204,30,50,27.7553076201762,47.0175906764999,2.24469237982377,2.98240932350008
3222,30,50,27.755308541462,47.0176647503464,2.24469145853805,2.98233524965362
3240,30,50,27.7553094176092,47.0177364902826,2.24469058239077,2.98226350971743
3258,30,50,27.755310250992,47.0178059694412,2.24468974900802,2.98219403055878
3276,30,50,27.7553110438531,47.0178732586875,2.24468895614694,2.98212674131253
3294,30,50,27.7553117983117,47.0179384266878,2.24468820168831,2.98206157331221
3312,30,50,27.7553125163705,47.0180015399768,2.24468748362946,2.98199846002317
3330,30,50,27.7553131999223,47.0180626630223,2.24468680007769,2.98193733697766
3348,30,50,27.755313850756,47.0181218582882,2.24468614924405,2.98187814171183
3366,30,50,27.7553144705626,47.0181791862954,2.2446855294374,2.98182081370456
3384,30,50,27.755315060941,47.0182347056819,2.24468493905895,2.9817652943181
3402,30,50,27.755315623403,47.0182884732595,2.24468437659699,2.98171152674045
3420,30,50,27.755316159378,47.0183405440705,2.244683840622,2.98165945592947
3438,30,50,27.755316670218,47.0183909714414,2.24468332978197,2.98160902855857
3456,30,50,27.7553171572019,47.0184398070359,2.24468284279812,2.98156019296415
3474,30,50,27.7553176215393,47.0184871009056,2.24468237846071,2.98151289909443
3492,30,50,27.7553180643748,47.0185329015401,2.24468193562519,2.98146709845994
3510,30,50,27.7553184867914,47.0185772559145,2.24468151320855,2.98142274408547
3528,30,50,27.7553188898141,47.0186202095366,2.24468111018587,2.98137979046336
