Tempo,Referencia_Temperatura,Saida_Temperatura,Sinal_Controle_Temperatura,Erro_Temperatura
1134,30,30.0520557230356,10.3303160994395,-0.0520557230356289
1152,30,30.0527040650555,10.3191392514817,-0.0527040650554511
1170,30,30.0506990344163,10.3159534963582,-0.0506990344162723
1188,30,30.0463553859065,10.3191569910797,-0.0463553859065229
1206,30,30.0402038050061,10.3275077217686,-0.0402038050060867
1224,30,30.0331620399914,10.3393921930357,-0.033162039991371
1242,30,30.0260099106334,10.3526206022398,-0.0260099106333556
1260,30,30.0193536437428,10.3662389817324,-0.0193536437427966
1278,30,30.0136625447056,10.3776572869525,-0.0136625447056424
1296,30,30.0092425623693,10.3868725880811,-0.00924256236933729
1314,30,30.0061889662966,10.393881949443,-0.00618896629660881
1332,30,30.0044989012804,10.3970534855725,-0.00449890128043862
1350,30,30.0039369280366,10.3973466527778,-0.00393692803656975
1368,30,30.004261747392,10.3952145276487,-0.00426174739199681
1386,30,30.0052395568723,10.3922828555962,-0.00523955687231492
1404,30,30.0065005268547,10.3885516366203,-0.00650052685465141
1422,30,30.0077628237098,10.383491211145,-0.00776282370982884
1440,30,30.008798425101,10.3784307856698,-0.00879842510098783
1458,30,30.0095319577367,10.3741693747432,-0.00953195773670856
1476,30,30.0098987503897,10.3712383722548,-0.00989875038969146
1494,30,30.0097896253899,10.3697456289105,-0.00978962538985328
1512,30,30.0092131416245,10.3693725922301,-0.00921314162454223
1530,30,30.0082546293657,10.3699585362325,-0.00825462936570887
1548,30,30.0070474796411,10.3715032976934,-0.00704747964110553
1566,30,30.0057329796304,10.3737153775148,-0.00573297963040531
1584,30,30.00442039615,10.3759274573362,-0.00442039615001732
1602,30,30.0031997187354,10.3781395371577,-0.00319971873544844
1620,30,30.0021572068067,10.381901679146,-0.00215720680669662
1638,30,30.001350701139,10.3847041250382,-0.00135070113898195
1656,30,30.0007759989812,10.3865468748341,-0.000775998981154657
1674,30,30.0004256362602,10.38838962463,-0.000425636260189322
1692,30,30.0004287327144,10.3889960032668,-0.000428732714429003
1710,30,30.0006973819062,10.3881629337388,-0.000697381906231698
1728,30,30.0011337333157,10.3873298642108,-0.00113373331570088
1746,30,30.0017275020783,10.3864967946828,-0.00172750207829253
1764,30,30.0023648681481,10.3835651226303,-0.00236486814808856
1782,30,30.002911520702,10.3814329975012,-0.00291152070201406
1800,30,30.0033630539241,10.3793008723721,-0.00336305392412584
1818,30,30.0037225306569,10.377168747243,-0.00372253065690487
1836,30,30.0038083220413,10.3763423678416,-0.0038083220412517
1854,30,30.0036888870059,10.3755159884402,-0.00368888700592152
1872,30,30.0033749035355,10.3758091556454,-0.00337490353546599
1890,30,30.0028726360895,10.3761023228507,-0.00287263608949573
1908,30,30.0023030008062,10.3763954900559,-0.00230300080622925
1926,30,30.0016748131758,10.379197935948,-0.00167481317577867
1944,30,30.0010884339033,10.3810406857439,-0.0010884339032522
1962,30,30.0005482152517,10.3828834355398,-0.000548215251747308
1980,30,30.0000526708493,10.3847261853357,-5.26708492643024e-05
1998,30,29.9998210783383,10.3865689351316,0.000178921661706966
2016,30,29.9997732958278,10.3871753137684,0.000226704172188619
2034,30,29.9998985197827,10.3877816924053,0.000101480217328032
2052,30,30.0001911793947,10.3869486228773,-0.000191179394697372
