Tempo,Referencia_Umidade,Saida_Umidade,Sinal_Controle_Umidade,Erro_Umidade
1980,50,50.0000767126865,22.5121160769177,-7.67126865071077e-05
1998,50,49.9993599461386,22.5149177109713,0.000640053861388878
2016,50,49.9996766038465,22.5119659294257,0.000323396153504518
2034,50,50.0004142749082,22.508391361286,-0.000414274908244749
2052,50,50.0004422760662,22.5094618390294,-0.000442276066209502
2070,50,49.9998258049572,22.5129355099997,0.000174195042774272
2088,50,49.9995533728104,22.513425345965,0.000446627189610638
2106,50,49.9999681307812,22.5106667635064,3.18692187590841e-05
2124,50,50.0003672309358,22.5091374621935,-0.000367230935815144
2142,50,50.0001752133469,22.510868316536,-0.000175213346935266
2160,50,49.9997581418912,22.5128677602122,0.000241858108765314
2178,50,49.999753358657,22.5122011027598,0.000246641343025544
2196,50,50.0001063603692,22.510230721124,-0.000106360369244385
2214,50,50.0002527851715,22.5100034595933,-0.000252785171490189
2232,50,50.0000114267343,22.5115886204596,-1.14267342610219e-05
2250,50,49.9997894861394,22.5124212659592,0.000210513860565698
2268,50,49.9999053823022,22.5114080624644,9.46176978402491e-05
2286,50,50.0001409924483,22.5102908831151,-0.000140992448280031
2304,50,50.0001373780223,22.5107026036581,-0.000137378022280643
2322,50,49.9999354146086,22.5118193645129,6.45853914136296e-05
2340,50,49.9998570451603,22.511919341275,0.000142954839652987
2358,50,49.9999973135169,22.511009287628,2.68648314971642e-06
2376,50,50.0001205721656,22.5105572113585,-0.000120572165613453
2394,50,50.000050909092,22.5111493653628,-5.09090919749156e-05
2412,50,49.999917922269,22.5117728819989,8.2077731022423e-05
2430,50,49.9999235767084,22.511520399132,7.64232916310448e-05
2448,50,50.00003902965,22.5108879640269,-3.90296500256682e-05
2466,50,50.000080776142,22.5108477879209,-8.07761419778785e-05
2484,50,49.9999993599234,22.5113697927522,6.40076649460752e-07
2502,50,49.9999310008331,22.5116144906508,6.8999166863648e-05
2520,50,49.9999727195647,22.5112689397925,2.72804353045331e-05
2538,50,50.0000477174367,22.5109213506739,-4.77174366793065e-05
2556,50,50.000042458743,22.5110752452849,-4.24587429677104e-05
2574,50,49.9999765143833,22.5114331067287,2.34856166656527e-05
2592,50,49.999954396328,22.5114464553822,4.56036720208886e-05
2610,50,50.0000015959248,22.5111472959496,-1.59592479320736e-06
2628,50,50.0000394526193,22.5110152947772,-3.9452619255087e-05
2646,50,50.0000145518297,22.5112166496555,-1.45518296648106e-05
2664,50,49.9999722938384,22.5114101834947,2.77061616102969e-05
