Tempo,Ref_T,Ref_U,Saida_T,Saida_U,Controle_T,Controle_U,Erro_T,Erro_U
4518,30,50,30.0132621659405,49.9849072051815,3.72844952924158,7.05519435722701,-0.0132621659404677,0.0150927948184858
4536,30,50,30.0271209507512,49.9752911091653,3.69585965247205,7.140520282418,-0.0271209507511827,0.0247088908347379
4554,30,50,30.0395305503649,49.9785705587967,3.65934479295283,7.19586171931888,-0.0395305503649475,0.0214294412032672
4572,30,50,30.0489172275409,49.9953936352794,3.6189366709203,7.13797171033595,-0.0489172275408976,0.00460636472056564
4590,30,50,30.0540920120684,50.0197966222964,3.57852854888777,7.06653605203652,-0.054092012068395,-0.0197966222963544
4608,30,50,30.0546574754747,50.0306755690426,3.5636016904939,7.01910053469291,-0.05465747547467,-0.0306755690426073
4626,30,50,30.0513329747543,50.0284535540799,3.54867483210003,7.00285877861455,-0.051332974754299,-0.0284535540798529
4644,30,50,30.0458293926921,50.0210458530909,3.55877686260816,7.02667066471436,-0.0458293926920774,-0.0210458530909037
4662,30,50,30.0384370745626,50.0167193877765,3.5709484824479,7.01481178537846,-0.0384370745625873,-0.0167193877765257
4680,30,50,30.0308146536817,50.0226758264665,3.58520655353457,6.97314098470379,-0.0308146536816949,-0.022675826466525
4698,30,50,30.0224198481949,50.0303984486509,3.60156814469931,6.92570546736018,-0.0224198481949323,-0.0303984486508639
4716,30,50,30.0148547055061,50.0310917322494,3.62005053508847,6.90946371128183,-0.0148547055060817,-0.0310917322493651
4734,30,50,30.008973575092,50.0248516624058,3.63853292547763,6.93327559738164,-0.00897357509202834,-0.0248516624057658
4752,30,50,30.0054042096859,50.0161596476586,3.63449619119566,6.95708748348145,-0.00540420968594901,-0.0161596476586112
4770,30,50,30.0042212521395,50.0123956563233,3.6385451840087,6.95112267584649,-0.00422125213947666,-0.0123956563233207
4788,30,50,30.0048553633235,50.0119018534267,3.64259417682174,6.94515786821154,-0.00485536332351444,-0.0119018534267212
4806,30,50,30.0064771946954,50.008290667226,3.63855744253977,6.93919306057659,-0.00647719469539965,-0.00829066722601368
4824,30,50,30.0073195008837,50.0014376693415,3.6345207082578,6.97537431619092,-0.00731950088373168,-0.00143766934154854
4842,30,50,30.0085901133187,49.9928887762824,3.63048397397584,7.03314899494378,-0.0085901133186681,0.00711122371756545
4860,30,50,30.0102322381851,49.9938346763539,3.62644723969387,7.0609847639069,-0.010232238185143,0.00616532364612965
4878,30,50,30.0114082103242,50.0056867642239,3.62241050541191,7.02512461847409,-0.0114082103241877,-0.00568676422388847
4896,30,50,30.0113731397221,50.0202343622133,3.61837377112994,6.98345381779942,-0.0113731397221422,-0.0202343622132872
4914,30,50,30.0099417531872,50.0260395054479,3.61433703684797,6.93601830045581,-0.00994175318724899,-0.0260395054479119
4932,30,50,30.0078984791011,50.0227651020864,3.61030030256601,6.9241594211199,-0.00789847910107966,-0.0227651020863746
4950,30,50,30.0063332677551,50.0111407799348,3.60626356828404,6.95105453019451,-0.00633326775505694,-0.0111407799348271
4968,30,50,30.0053182131923,49.9996983247582,3.60222683400208,6.98723578580885,-0.00531821319226111,0.000301675241772159
4986,30,50,30.0047804293615,49.9959945361456,3.60627582681511,6.99271988193009,-0.00478042936147816,0.00400546385439071
5004,30,50,30.003965107462,50.0002898818355,3.61032481962815,6.99820397805134,-0.00396510746201528,-0.00028988183545664
5022,30,50,30.0022147876909,50.0060394771567,3.61437381244119,6.96234383261853,-0.00221478769088179,-0.00603947715666209
5040,30,50,29.9995733085933,50.0121058005696,3.61842280525423,6.92648368718572,0.000426691406691049,-0.0121058005696497
5058,30,50,29.9972737540373,50.0106915609625,3.62247179806726,6.92051887955077,0.00272624596274795,-0.0106915609624707
5076,30,50,29.9954483873867,50.0031780125903,3.6265207908803,6.9567001351651,0.00455161261325543,-0.0031780125902543
5094,30,50,29.9947568006091,49.9958601223113,3.64670446229013,6.99288139077943,0.00524319939093232,0.00413987768865098
5112,30,50,29.9950375856348,49.9966214053744,3.65075345510317,6.99836548690068,0.00496241436520961,0.00337859462563017
5130,30,50,29.9956089392382,50.0038590852232,3.65480244791621,6.97041858601237,0.00439106076180451,-0.00385908522318346
5148,30,50,29.9958565864395,50.0102729384923,3.65885144072924,6.93455844057955,0.00414341356050585,-0.0102729384922924
5166,30,50,29.9971982844704,50.0094020392534,3.66290043354228,6.9285936329446,0.00280171552964603,-0.00940203925335936
5184,30,50,29.998876249285,50.0009183166775,3.66694942635532,6.96477488855893,0.00112375071502413,-0.000918316677484654
5202,30,50,30.0014523485512,49.990440359514,3.67099841916836,7.0225495673118,-0.00145234855123277,0.00955964048603875
5220,30,50,30.0049060814381,49.9885002363672,3.67504741198139,7.05038533627491,-0.00490608143811855,0.0114997636328269
5238,30,50,30.0085580298591,49.9975542430373,3.67101067769943,7.0224384353866,-0.00855802985912746,0.00244575696267901
5256,30,50,30.0116419679604,50.009457502927,3.66697394341746,6.98657828995379,-0.0116419679604043,-0.00945750292697767
5274,30,50,30.0139519735232,50.0131838214489,3.6629372091355,6.98061348231884,-0.0139519735231559,-0.013183821448898
5292,30,50,30.0161850033629,50.0087616679568,3.65491233201643,6.97464867468388,-0.0161850033629491,-0.00876166795681854
5310,30,50,30.0186114330963,50.0026059101361,3.64688745489736,7.01082993029821,-0.0186114330963285,-0.0026059101360616
5328,30,50,30.0212310757125,49.9960363892177,3.63886257777829,7.04701118591255,-0.0212310757125351,0.00396361078231422
5346,30,50,30.0235068486116,49.9980368982397,3.63083770065922,7.05249528203379,-0.023506848611639,0.00196310176029613
5364,30,50,30.0249672072692,50.0070495325446,3.62281282354015,7.01663513660098,-0.024967207269178,-0.00704953254455631
5382,30,50,30.0249497535065,50.0156783701373,3.61478794642108,6.97496433592631,-0.0249497535065331,-0.0156783701373087
5400,36,50,30.0236294854354,50.0165689207626,3.61478794642108,6.96310545659041,5.97637051456463,-0.0165689207626158
5418,36,50,30.0217089706906,50.0102093086457,8.58766856691248,6.99000056566502,5.97829102930939,-0.0102093086456847
5436,36,50,30.0198996318418,50.0039767789418,13.5605491874039,7.02618182127935,5.98010036815824,-0.00397677894177662
5454,36,50,30.0182058044591,50.0054732389509,18.5334298078953,7.0202170136444,5.98179419554091,-0.00547323895085583
5472,36,50,30.0416947092918,50.0147142910601,23.3301467871096,6.98435686821159,5.95830529070819,-0.0147142910600806
5490,36,50,30.5076903501701,50.0221883790924,23.5880739049515,6.94268606753691,5.49230964982988,-0.0221883790924267
5508,36,50,31.4020248796858,49.9422431134452,22.8078958871498,7.34116248124919,4.59797512031422,0.0577568865547917
5526,36,50,32.7108963286794,49.166200625729,21.8078958871498,6.63765621200976,3.28910367132058,0.833799374270953
5544,36,50,34.3838336595042,47.7731679781354,20.8078958871498,8.525069031671,1.61616634049584,2.22683202186464
5562,36,50,36.0202844855805,45.6396180711288,19.7917976881358,15.525069031671,-0.0202844855805324,4.36038192887125
5580,36,50,37.5294368579995,43.5063325485233,16.5289025134269,22.525069031671,-1.52943685799954,6.49366745147672
5598,36,50,38.9062537827539,42.8871995724807,11.5289025134269,29.525069031671,-2.90625378275388,7.11280042751925
5616,36,50,40.0950320803618,43.770705968954,6.52890251342695,29.0039470309951,-4.09503208036182,6.22929403104602
5634,36,50,41.0073103985566,45.8624200683869,2.2508586012513,27.5039470309951,-5.00731039855665,4.13757993161305
5652,36,50,41.4584623078647,47.6150328240277,1.2508586012513,26.0039470309951,-5.45846230786472,2.38496717597227
5670,36,50,41.346603885455,48.928975368877,0.548155898548598,24.5039470309951,-5.346603885455,1.07102463112304
5688,36,50,40.8228217494545,50.1719860420108,0.748675950553799,22.8125904801884,-4.82282174945453,-0.171986042010758
5706,36,50,39.9922983469281,51.5988380815329,4.0495060335621,19.0750179074037,-3.99229834692814,-1.59883808153295
5724,36,50,39.1406445291415,53.1411539729879,7.4338561090094,12.0750179074037,-3.14064452914152,-3.14115397298794
