Tempo,Referencia_Temperatura,Saida_Temperatura,Controle_Temperatura,Erro_Temperatura
774,30,30.0410491246266,2.57527564635139,-0.0410491246265821
792,30,30.067484820974,2.48106221221355,-0.0674848209740411
810,30,30.0764392280315,2.43460301103737,-0.0764392280314681
828,30,30.0695765190964,2.43881645250911,-0.0695765190963655
846,30,30.050061547151,2.4736657675776,-0.0500615471510493
864,30,30.022191950559,2.52879114370599,-0.0221919505590193
882,30,29.990653657262,2.60011247425942,0.0093463427379703
900,30,29.9602650339871,2.68276568838458,0.0397349660129223
918,30,29.9339417165521,2.76832407325181,0.0660582834479087
936,30,29.9134922210365,2.85104326003707,0.08650777896354
954,30,29.9002552116764,2.9245860760601,0.0997447883235907
972,30,29.8950776363047,2.97140511237156,0.104922363695284
990,30,29.8980131992528,2.98584659209617,0.101986800747188
1008,30,29.9085657089226,2.97530731286361,0.091434291077416
1026,30,29.9256682945391,2.94155866860467,0.0743317054608887
1044,30,29.9467127122663,2.8922294665866,0.0532872877336992
1062,30,29.9685880811941,2.835908389087,0.0314119188059223
1080,30,29.9889055353729,2.77882352790314,0.0110944646271207
1098,30,30.0055465918468,2.72790080018183,-0.00554659184681583
1116,30,30.0171410290935,2.68934991795972,-0.0171410290935015
1134,30,30.0231570378457,2.66554983862612,-0.02315703784571
1152,30,30.0236714724419,2.65896206261051,-0.0236714724418903
1170,30,30.0193996171703,2.66536892853536,-0.0193996171702828
1188,30,30.0116151833541,2.67994382732078,-0.0116151833540599
1206,30,30.001791729338,2.70050943440201,-0.00179172933803073
1224,30,29.9915839873592,2.72605384023939,0.00841601264082925
1242,30,29.9822349508189,2.75438719206515,0.0177650491811363
1260,30,29.9745015722999,2.78297807021355,0.0254984277001213
1278,30,29.9689003456029,2.80855343864275,0.0310996543971171
1296,30,29.965831043283,2.829244693572,0.0341689567169645
1314,30,29.9654827951502,2.83996623321173,0.0345172048498092
1332,30,29.9678048310099,2.83995300730217,0.0321951689900501
1350,30,29.9724472342918,2.83178947241231,0.0275527657081689
1368,30,29.9788903335969,2.81726426512549,0.0211096664030812
1386,30,29.9861743502187,2.79889550128115,0.0138256497813174
1404,30,29.993277230791,2.77948963495571,0.00672276920901282
1422,30,29.9994332667601,2.76153329013727,0.000566733239928396
1440,30,30.0040718887454,2.74600008292827,-0.00407188874541475
1458,30,30.00687149733,2.7346426732147,-0.00687149732999259
1476,30,30.0077805215082,2.72865703873744,-0.00778052150819164
1494,30,30.006982059158,2.72871698345509,-0.00698205915802674
1512,30,30.0047516085943,2.73315653949949,-0.00475160859430801
1530,30,30.0015149167556,2.73982257628107,-0.00151491675563875
1548,30,29.9977981407701,2.74943612324878,0.00220185922988492
1566,30,29.9941758508292,2.75904967021649,0.00582414917079888
1584,30,29.9910610070927,2.76944484444054,0.00893899290733557
1602,30,29.98865540326,2.78061988684584,0.0113445967399848
1620,30,29.9872067975893,2.78872152313691,0.0127932024107231
1638,30,29.9866993775665,2.79431536990547,0.013300622433519
1656,30,29.9871715889472,2.79559243266113,0.0128284110527694
1674,30,29.9886644632883,2.79507436677377,0.0113355367117087
1692,30,29.9908787679696,2.78994644550818,0.0091212320304237
1710,30,29.9935550441306,2.78378959884203,0.00644495586939087
1728,30,29.9962859473193,2.77584112656366,0.00371405268070646
1746,30,29.9988898465993,2.76861329291803,0.00111015340072029
1764,30,30.0009562114126,2.76317916740848,-0.000956211412560748
1782,30,30.0023883819269,2.75838683514011,-0.0023883819268562
1800,30,30.0030439505795,2.75539028117716,-0.00304395057946039
1818,30,30.0030021919501,2.75420612324503,-0.00300219195008111
1836,30,30.0024470025955,2.75486576044457,-0.00244700259548836
1854,30,30.0014604970929,2.75774896563545,-0.00146049709294616
1872,30,30.0002177872098,2.76063217082633,-0.000217787209759734
1890,30,29.9988956815934,2.76351537601721,0.00110431840656844
1908,30,29.9976681421021,2.76808606850599,0.0023318578978575
1926,30,29.9967370936644,2.77265676099478,0.00326290633558912
1944,30,29.9961043072294,2.7759676847114,0.00389569277061241
1962,30,29.9957601787606,2.77927860842803,0.00423982123941968
1980,30,29.9958438448542,2.78048431053302,0.0041561551457967
1998,30,29.9963501198357,2.77971200265292,0.00364988016430701
2016,30,29.9971545864377,2.77893969477283,0.00284541356233703
2034,30,29.9982412306669,2.77530088973022,0.00175876933311869
2052,30,29.9994157911108,2.7716620846876,0.000584208889208071
2070,30,30.000490735531,2.76802327964499,-0.000490735530988218
2088,30,30.0014592034926,2.76438447460238,-0.00145920349261175
2106,30,30.0020724864472,2.76254260453249,-0.00207248644721147
2124,30,30.0023274308815,2.76135844660035,-0.00232743088146137
2142,30,30.0022355752957,2.76017428866821,-0.00223557529571394
2160,30,30.0018080866506,2.76179730641476,-0.00180808665060894
2178,30,30.0012138307309,2.76342032416131,-0.00121383073086179
2196,30,30.0005251762014,2.76504334190786,-0.000525176201364275
2214,30,29.9997485104521,2.76666635965441,0.000251489547867578
2232,30,29.9991335866171,2.76828937740096,0.000866413382862419
2250,30,29.9986894851309,2.76991239514751,0.0013105148690542
2268,30,29.9984107055139,2.76999067824919,0.00158929448607381
2286,30,29.9982919244019,2.77006896135086,0.00170807559810982
2304,30,29.998327989843,2.77014724445254,0.00167201015701934
2322,30,29.9985139157782,2.77022552755422,0.00148608422181695
2340,30,29.9987090018402,2.77030381065589,0.0012909981597744
2358,30,29.9989050903737,2.77038209375757,0.00109490962632108
2376,30,29.999102149099,2.77046037685925,0.000897850901033337
2394,30,29.9993001467759,2.77053865996092,0.000699853224084279
2412,30,29.9994990531703,2.7706169430626,0.000500946829728122
2430,30,29.9996988390213,2.77069522616428,0.000301160978654735
2448,30,29.9998994760106,2.77077350926595,0.000100523989377876
2466,30,30.0001009367315,2.77085179236763,-0.000100936731456613
2484,30,30.0003031946597,2.77093007546931,-0.000303194659693418
2502,30,30.0005062241252,2.77100835857098,-0.000506224125246035
2520,30,30.0007100002846,2.77108664167266,-0.000710000284623646
2538,30,30.0009144990943,2.77116492477434,-0.000914499094278654
2556,30,30.0011196972849,2.77124320787601,-0.00111969728487438
2574,30,30.0013255723363,2.77132149097769,-0.001325572336345
2592,30,30.0015321024538,2.77139977407937,-0.00153210245376556
2610,30,30.001739266544,2.77147805718104,-0.00173926654402123
2628,30,30.0019470441932,2.77155634028272,-0.00194704419318015
2646,30,30.0021554156446,2.7716346233844,-0.00215541564464417
2664,30,30.002364361778,2.77045046545226,-0.00236436177798538
2682,30,30.0025738640884,2.76926630752012,-0.00257386408843985
2700,30,30.0027839046671,2.76808214958798,-0.00278390466711187
2718,30,30.0029944661818,2.76689799165585,-0.00299446618176091
2736,30,30.0030944875449,2.76571383372371,-0.00309448754491726
2754,30,30.0030811023246,2.76452967579157,-0.00308110232459313
2772,30,30.0029579622128,2.76334551785944,-0.00295796221277556
2790,30,30.002728601317,2.7621613599273,-0.00272860131697783
2808,30,30.0023964399464,2.76282099712684,-0.00239643994643757
2826,30,30.0019647882764,2.76444401487339,-0.00196478827644242
2844,30,30.0014368498946,2.76606703261994,-0.00143684989463821
2862,30,30.0008157252331,2.76769005036649,-0.000815725233138664
2880,30,30.0002665951099,2.76931306811304,-0.000266595109938095
2898,30,29.999881265171,2.77093608585959,0.00011873482896263
2916,30,29.9996593646575,2.77101436896126,0.000340635342514162
2934,30,29.9995956311418,2.77109265206294,0.000404368858212933
2952,30,29.9996849716466,2.77117093516462,0.000315028353391256
2970,30,29.9999224571885,2.77124921826629,7.75428115105115e-05
2988,30,30.0001674426379,2.77132750136797,-0.000167442637881265
3006,30,30.0004118237984,2.77140578446965,-0.000411823798408761
3024,30,30.0006556201282,2.77148406757132,-0.000655620128178214
3042,30,30.0008988504587,2.771562350673,-0.000898850458746381
3060,30,30.0011415330153,2.77164063377468,-0.00114153301527509
3078,30,30.0013836854361,2.77171891687635,-0.00138368543609602
3096,30,30.0016253247916,2.77179719997803,-0.00162532479157562
3114,30,30.0018664676024,2.77187548307971,-0.00186646760242581
3132,30,30.0021071298574,2.77195376618138,-0.0021071298573716
3150,30,30.0023473270303,2.77076960824925,-0.00234732703032137
3168,30,30.0025870740969,2.76958545031711,-0.00258707409691539
3186,30,30.0028263855506,2.76840129238497,-0.00282638555056991
3204,30,30.003065275418,2.76721713445284,-0.00306527541803447
3222,30,30.003192712961,2.7660329765207,-0.00319271296103807
